Date,Slug,Usage,BYOK Usage,Requests,Prompt_Tokens,Completion_Tokens,Reasoning_Tokens
"2026-01-18 00:00:00","google/gemini-3-pro-preview","1.948769","0","46","1755204","47589","32630"
"2026-01-18 00:00:00","mistralai/codestral-2508","0.038307","0.038307","214","120256","2587","0"
"2026-01-17 00:00:00","mistralai/codestral-2508","0.060975","0.060975","141","197765","1904","0"
"2026-01-17 00:00:00","google/gemini-3-flash-preview","0.288837","0","46","1638925","14306","3172"
"2026-01-17 00:00:00","google/gemini-3-pro-preview","0.134986","0","6","90328","3734","2057"
"2026-01-16 00:00:00","google/gemini-3-pro-preview","3.707476","0","48","4219789","89673","26475"
"2026-01-16 00:00:00","mistralai/codestral-2508","0.014141","0.014141","81","44365","963","0"
"2026-01-16 00:00:00","google/gemini-3-flash-preview","1.392206","0","59","17052145","91544","60055"
"2026-01-15 00:00:00","google/gemini-3-flash-preview","0.380546","0","52","1819557","31645","1425"
"2026-01-15 00:00:00","anthropic/claude-sonnet-4.5","0.344916","0","4","94920","11241","244"
"2026-01-15 00:00:00","google/gemini-3-pro-preview","0.47299","0","18","340124","15365","9042"
"2026-01-15 00:00:00","black-forest-labs/flux.2-klein-4b","0.028","0","2","1569","0","0"
"2026-01-15 00:00:00","mistralai/codestral-2508","0.139293","0.139293","458","361919","34377","0"
"2026-01-15 00:00:00","openai/gpt-5.2-chat","0.029583","0.119244","8","191817","2148","192"
"2026-01-14 00:00:00","openai/gpt-5.2-codex","0","0.082218","2","5310","5209","127"
"2026-01-14 00:00:00","mistralai/codestral-2508","0.01658","0","62","53306","685","0"
"2026-01-14 00:00:00","google/gemini-3-pro-preview","1.85333","0","43","2058246","54546","26548"
"2026-01-14 00:00:00","google/gemini-3-flash-preview","0.063948","0","10","189255","4457","3625"
"2026-01-14 00:00:00","xiaomi/mimo-v2-flash:free","0","0","1","178","9521","3424"
"2026-01-13 00:00:00","mistralai/codestral-2508","0.045105","0","307","131226","6529","0"
"2026-01-13 00:00:00","google/gemini-3-flash-preview","0.760785","0","71","4824035","38168","742"
"2026-01-13 00:00:00","google/gemini-3-pro-preview","1.527251","0","38","1256802","44746","23864"
"2026-01-12 00:00:00","google/gemini-3-pro-preview","1.079539","0","35","723145","31689","20871"
"2026-01-12 00:00:00","mistralai/codestral-2508","0.036219","0","241","106794","4760","0"
"2026-01-12 00:00:00","openai/gpt-5.2-chat","0","0.260075","20","290160","6557","512"
"2026-01-12 00:00:00","google/gemini-3-flash-preview","0.074076","0","10","221480","4234","2449"
"2026-01-12 00:00:00","anthropic/claude-opus-4.5","0.338268","0","4","79955","4574","305"
"2026-01-11 00:00:00","moonshotai/kimi-k2-thinking","0.405623","0","30","913258","32725","6921"
"2026-01-11 00:00:00","google/gemini-3-pro-preview","0.102812","0","4","82387","2325","1523"
"2026-01-11 00:00:00","mistralai/codestral-2508","0.075639","0","390","238575","4710","0"
"2026-01-11 00:00:00","google/gemini-3-flash-preview","1.422312","0","192","4550985","61452","16517"
"2026-01-11 00:00:00","minimax/minimax-m2.1","0.05155","0","5","88750","21116","1610"
"2026-01-10 00:00:00","openai/gpt-5.2-chat","0","0.024714","3","3323","1350","128"
"2026-01-10 00:00:00","mistralai/codestral-2508","0.051028","0","249","161126","3109","0"
"2026-01-10 00:00:00","google/gemini-3-flash-preview","1.179291","0","142","4018012","93718","57902"
"2026-01-10 00:00:00","google/gemini-3-pro-image-preview","4.807816","0","36","59132","48076","9451"
"2026-01-09 00:00:00","openai/gpt-5.2","0","0.305136","5","37179","19913","11557"
"2026-01-06 00:00:00","openai/gpt-5.2","0","0.13893","1","1021","9796","2663"
"2026-01-05 00:00:00","mistralai/codestral-2508","0.01806","0","76","58046","760","0"
"2026-01-05 00:00:00","openai/gpt-5-mini","0","0.006178","1","825","2986","1344"
"2026-01-05 00:00:00","google/gemini-3-flash-preview","0.257726","0","39","1606330","14730","760"
"2026-01-05 00:00:00","google/gemini-3-pro-image-preview","1.255978","0","12","8753","12486","2516"
"2026-01-05 00:00:00","mistralai/devstral-2512","0.00114","0","2","351","5105","0"
"2026-01-04 00:00:00","google/gemini-3-flash-preview","0.31276","0","29","892139","28237","9773"
"2026-01-04 00:00:00","google/gemini-3-pro-image-preview","3.070446","0","23","23049","30269","4530"
"2026-01-04 00:00:00","mistralai/codestral-2508","0.002431","0","8","7847","88","0"
"2026-01-03 00:00:00","google/gemini-3-flash-preview","0.030458","0","3","46597","4834","3267"
"2026-01-03 00:00:00","z-ai/glm-4.7","0.515252","0","34","1076975","64843","4324"
"2026-01-03 00:00:00","mistralai/codestral-2508","0.015582","0","86","48454","1207","0"
"2026-01-03 00:00:00","anthropic/claude-opus-4.5","3.790734","0","24","1169245","27224","856"
"2026-01-02 00:00:00","google/gemini-3-flash-preview","0.278266","0","27","916453","33280","25103"
"2026-01-01 00:00:00","google/gemini-3-pro-preview","0.120086","0","9","73414","2689","1745"
"2026-01-01 00:00:00","google/gemini-3-flash-preview","0.5811","0","60","1297536","59530","40416"
"2026-01-01 00:00:00","anthropic/claude-opus-4.5","3.320833","0","22","770731","9347","955"
"2025-12-30 00:00:00","anthropic/claude-opus-4.5","0.463666","0","6","78200","7249","1831"
"2025-12-30 00:00:00","anthropic/claude-sonnet-4.5","2.102954","0","25","943578","22548","0"
"2025-12-29 00:00:00","google/gemini-3-flash-preview","2.043853","0","68","18305457","42057","27669"
"2025-12-29 00:00:00","allenai/olmo-3.1-32b-think:free","0","0","1","154","5966","6347"
"2025-12-29 00:00:00","mistralai/codestral-2508","0.030847","0","39","56890","15333","0"
"2025-12-28 00:00:00","anthropic/claude-opus-4.5","28.971254","0","132","7688135","89263","2407"
"2025-12-28 00:00:00","google/gemini-3-pro-preview","0.712862","0","50","861878","15818","10796"
"2025-12-28 00:00:00","mistralai/codestral-2508","0.072765","0","110","222656","6690","0"
"2025-12-27 00:00:00","anthropic/claude-opus-4.5","16.317816","0","111","4057767","60097","1319"
"2025-12-27 00:00:00","xiaomi/mimo-v2-flash:free","0","0","1","136","8259","4755"
"2025-12-27 00:00:00","google/gemini-3-flash-preview","0.960093","0","76","6211808","66427","7876"
"2025-12-27 00:00:00","mistralai/codestral-2508","0.144492","0","68","148211","111177","0"
"2025-12-27 00:00:00","google/gemini-3-pro-preview","11.403124","0","86","12638025","76607","53402"
"2025-12-23 00:00:00","z-ai/glm-4.7","0.038333","0","3","584","18733","6978"
"2025-12-23 00:00:00","bytedance-seed/seed-1.6","0.018193","0","1","1127","8956","5348"
"2025-12-23 00:00:00","anthropic/claude-opus-4.5","0.314895","0","2","1244","12347","547"
"2025-12-23 00:00:00","minimax/minimax-m2.1","0.066372","0","6","24769","49119","3225"
"2025-12-23 00:00:00","allenai/olmo-3.1-32b-think:free","0","0","1","154","7911","8473"
"2025-12-20 00:00:00","openai/gpt-5.2-pro","0","1.653456","1","984","9719","993"
"2025-12-19 00:00:00","black-forest-labs/flux.2-max","0.17","0","2","1474","0","0"
"2025-12-19 00:00:00","xiaomi/mimo-v2-flash:free","0","0","1","136","2766","1488"